customer_id,tenure_weeks,total_orders,total_skips,order_completion_rate,avg_order_value,avg_recipe_rating,lifetime_recipes_rated,lifetime_recipes_received,rating_engagement_rate,menu_customisation_rate,early_avg_rating,late_avg_rating,rating_trend,early_order_freq,late_order_freq,frequency_trend,initial_discount_pct,weekly_price_gbp,discount_dependency_rate,avg_discount_pct,total_tickets,delivery_complaints,avg_resolution_days,tickets_per_tenure_month,household_size,meals_per_week,churned,acquisition_channel_Influencer,acquisition_channel_Organic search,acquisition_channel_Paid social,acquisition_channel_Referral,acquisition_channel_TV/brand,age_band_25-34,age_band_35-44,age_band_45-54,age_band_55+,region_Midlands,region_North,region_Scotland,region_South East,region_Wales,dietary_preference_Family-friendly,dietary_preference_Pescatarian,dietary_preference_Vegan,dietary_preference_Veggie,plan_type_2-person,plan_type_3-person,plan_type_4-person+
FB-00001,3.142857142857143,5.0,0.0,1.0,35.908,3.56,18.0,30.0,0.6,0.0,3.2499999999999996,3.0999999999999996,-0.22499999999999987,0.0,0.0,0.0,21,46.82,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
FB-00002,11.428571428571429,7.0,5.0,0.5833333333333334,34.74333333333333,2.557142857142857,28.0,70.0,0.4,0.0,2.966666666666667,2.1,-0.8666666666666667,0.75,0.25,-0.5,51,80.41,0.0,0.0,3.0,0.0,4.0,0.10743529411764706,1,10+,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
FB-00003,11.142857142857142,7.0,5.0,0.5833333333333334,17.113333333333333,3.3166666666666664,10.0,21.0,0.47619047619047616,0.0,3.5333333333333337,2.2,-1.3333333333333335,0.75,0.25,-0.5,19,32.15,0.0,0.0,1.0,1.0,3.0,0.06003944773175542,2,3,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
FB-00004,127.85714285714286,102.0,27.0,0.7906976744186046,20.01953488372093,2.919387755102041,242.0,510.0,0.4745098039215686,0.0,3.3333333333333335,2.8249999999999997,-0.5083333333333337,0.75,1.0,0.25,47,27.53,0.0,0.0,1.0,0.0,3.0,0.033015184381778744,4,5,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
FB-00005,0.14285714285714285,1.0,0.0,1.0,22.46,1.7,1.0,6.0,0.16666666666666666,0.0,3.2499999999999996,3.0999999999999996,-0.22499999999999987,0.0,0.0,0.0,64,64.79,0.0,0.0,0.0,0.0,0.0,0.0,5+,6,1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False
FB-00006,2.5714285714285716,2.0,1.0,0.6666666666666666,43.26,3.25,6.0,18.0,0.3333333333333333,0.0,3.2499999999999996,3.0999999999999996,-0.22499999999999987,0.0,0.0,0.0,50,129.26,0.0,0.0,3.0,2.0,1.6666666666666667,0.1271866295264624,3,9,1,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True
FB-00007,3.4285714285714284,2.0,2.0,0.5,11.4575,2.85,5.0,10.0,0.5,0.0,3.2499999999999996,3.0999999999999996,-0.22499999999999987,0.0,0.0,0.0,56,51.88,0.0,0.0,0.0,0.0,0.0,0.0,2,5,1,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
FB-00008,58.0,56.0,3.0,0.9491525423728814,37.03949152542373,3.411111111111111,156.0,280.0,0.5571428571428572,0.0,3.425,3.5666666666666664,0.1416666666666666,1.0,1.0,0.0,13,39.72,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
FB-00009,23.428571428571427,18.0,7.0,0.72,35.4872,3.24,32.0,72.0,0.4444444444444444,0.0,3.275,3.0999999999999996,-0.22499999999999987,1.0,0.5,-0.5,21,52.03,0.0,0.0,1.0,0.0,2.0,0.05368606701940035,2,4,1,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True
FB-00010,115.85714285714286,106.0,11.0,0.905982905982906,51.12102564102564,3.3924528301886796,413.0,742.0,0.5566037735849056,0.0,3.6,3.1999999999999997,-0.40000000000000036,1.0,0.75,-0.25,15,57.52,0.0,0.0,1.0,0.0,1.0,0.03632458233890215,3,7,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
