Feature,Coefficient
total_tickets,1.0689502007862497
total_skips,1.0562567527486244
avg_resolution_days,0.6616788504666987
weekly_price_gbp,0.39138790831202863
delivery_complaints,0.052962626277628946
tenure_weeks,0.0
lifetime_recipes_received,0.0
menu_customisation_rate,0.0
discount_dependency_rate,0.0
avg_discount_pct,0.0
late_avg_rating,0.0
early_order_freq,0.0
early_avg_rating,0.0
avg_order_value,-0.3169916795578845
avg_recipe_rating,-0.6793416219876098
tickets_per_tenure_month,-0.7458453813602717
rating_trend,-1.0244009242768561
initial_discount_pct,-1.0534126256219651
rating_engagement_rate,-1.1100021602036412
late_order_freq,-1.1142450124740968
frequency_trend,-1.532234092726003
lifetime_recipes_rated,-1.6019727644889248
order_completion_rate,-1.62265518815924
total_orders,-5.516679307148051
